start_epoch,end_epoch,hr_bpm,rr_bpm,chosen_range_m,ahet_verified,harmonic_suspect,f_r_hz_used,f_r_raw_hz,f_r_smooth_bpm,masimo_pr_bpm,error_bpm,abs_error_bpm,low_quality
1780995640.0,1780995660.0,77.37052707884946,18.000000000000004,1.2644,True,False,0.2939066103575681,0.2939066103575681,17.634396621454087,65.71428571428571,11.656241364563755,11.656241364563755,False
1780995645.0,1780995665.0,55.42015714035804,18.000000000000004,1.2644,True,False,0.29556041810427086,0.29941930284657736,17.73362508625625,67.85714285714286,-12.436985716784818,12.436985716784818,False
1780995650.0,1780995670.0,57.73681841778152,18.000000000000004,1.2644,True,False,0.301391365449201,0.31499690925403795,18.083481926952057,69.71428571428571,-11.977467296504187,11.977467296504187,False
1780995655.0,1780995675.0,98.57408164238481,15.0,1.2644,True,False,0.2928372950663421,0.27287779750633806,17.570237703980524,71.04761904761905,27.52646259476576,27.52646259476576,False
1780995660.0,1780995680.0,66.79172614057086,18.000000000000004,1.2644,True,False,0.29060227923909066,0.28538724230883733,17.43613675434544,71.23809523809524,-4.446369097524382,4.446369097524382,False
1780995665.0,1780995685.0,67.81597670935399,18.000000000000004,1.2644,True,False,0.2893052962652214,0.2862790026595265,17.358317775913285,71.52380952380952,-3.7078328144555286,3.7078328144555286,False
1780995670.0,1780995690.0,60.4393953420121,18.000000000000004,1.2644,True,False,0.28913043219728307,0.2887224160387604,17.347825931836983,71.47619047619048,-11.036795134178384,11.036795134178384,False
1780995675.0,1780995695.0,70.35837901305604,9.000000000000002,1.2644,True,False,0.2462394435375468,0.1461604699981621,14.774366612252807,71.47619047619048,-1.1178114631344442,1.1178114631344442,False
1780995680.0,1780995700.0,59.71592264619258,18.000000000000004,1.2644,True,False,0.26501784468146306,0.3088341140172676,15.901070680887784,71.57142857142857,-11.855505925235988,11.855505925235988,False
1780995685.0,1780995705.0,59.80479105175569,18.000000000000004,1.2644,True,False,0.2811467740168493,0.31878094246608396,16.868806441010957,71.28571428571429,-11.480923233958599,11.480923233958599,False
1780995690.0,1780995710.0,76.10759680031902,18.000000000000004,1.2644,True,False,0.292812185772682,0.3200314798696249,17.568731146360918,70.9047619047619,5.2028348955571175,5.2028348955571175,False
1780995695.0,1780995715.0,62.24015987829297,18.000000000000004,1.2644,True,False,0.30116455845995516,0.3206534280635927,18.069873507597308,71.23809523809524,-8.99793535980227,8.99793535980227,False
1780995700.0,1780995720.0,61.324070492773835,21.000000000000004,1.2644,True,False,0.31039785708666334,0.3319422205489825,18.623871425199802,71.9047619047619,-10.580691411988063,10.580691411988063,False
1780995705.0,1780995725.0,75.5115322838889,21.000000000000004,1.2644,True,False,0.3181221255090309,0.3361454184945552,19.087327530541856,72.35,3.161532283888903,3.161532283888903,False
1780995710.0,1780995730.0,,18.000000000000004,1.2644,False,True,0.3162639271063248,0.311928130833344,18.975835626379485,73.35,,,False
1780995715.0,1780995735.0,77.89781187529476,18.000000000000004,1.2644,True,False,0.3135453017650142,0.30720184263528955,18.812718105900853,74.45,3.447811875294761,3.447811875294761,False
1780995720.0,1780995740.0,78.65911626981489,18.000000000000004,1.2644,True,False,0.3079452924307907,0.29487860398426935,18.476717545847443,75.7,2.959116269814885,2.959116269814885,False
1780995725.0,1780995745.0,79.2728931274741,18.000000000000004,1.2644,True,False,0.3050568207730978,0.2983170535718145,18.30340924638587,76.9,2.3728931274741,2.3728931274741,False
