start_epoch,end_epoch,hr_bpm,rr_bpm,chosen_range_m,ahet_verified,harmonic_suspect,f_r_hz_used,masimo_pr_bpm,error_bpm,abs_error_bpm,low_quality
1780995625.0,1780995645.0,63.26289902498427,18.000000000000004,1.2644,True,False,0.29275810233014277,64.15,-0.8871009750157342,0.8871009750157342,False
1780995630.0,1780995650.0,57.26147633047191,18.000000000000004,1.2644,True,False,0.28631239621493026,63.05,-5.7885236695280895,5.7885236695280895,False
1780995635.0,1780995655.0,65.9588882851624,18.000000000000004,1.2644,True,False,0.28494161397664325,63.857142857142854,2.101745428019548,2.101745428019548,False
1780995640.0,1780995660.0,77.3705272390994,18.000000000000004,1.2644,True,False,0.2939066153401417,65.71428571428571,11.656241524813694,11.656241524813694,False
1780995645.0,1780995665.0,55.45270702964905,18.000000000000004,1.2644,True,False,0.29941930113834836,67.85714285714286,-12.404435827493813,12.404435827493813,False
1780995650.0,1780995670.0,70.32766029413091,18.000000000000004,1.2644,True,False,0.314996900481204,69.71428571428571,0.6133745798451997,0.6133745798451997,False
1780995655.0,1780995675.0,58.51960447774856,15.0,1.2644,True,False,0.27287780623818425,71.04761904761905,-12.528014569870493,12.528014569870493,False
1780995660.0,1780995680.0,66.55237224555214,18.000000000000004,1.2644,True,False,0.285387248021667,71.23809523809524,-4.685722992543106,4.685722992543106,False
1780995665.0,1780995685.0,71.56165960533869,18.000000000000004,1.2644,True,False,0.28627899524740064,71.52380952380952,0.037850081529171575,0.037850081529171575,False
1780995670.0,1780995690.0,60.4389562785493,18.000000000000004,1.2644,True,False,0.2887223939912485,71.47619047619048,-11.037234197641183,11.037234197641183,False
1780995675.0,1780995695.0,,9.000000000000002,1.2644,False,True,0.14616054756825225,71.47619047619048,,,False
1780995680.0,1780995700.0,68.73953512738807,18.000000000000004,1.2644,True,False,0.30883412505951346,71.57142857142857,-2.831893444040503,2.831893444040503,False
1780995685.0,1780995705.0,62.06166125415476,18.000000000000004,1.2644,True,False,0.31878093641842864,71.28571428571429,-9.224053031559535,9.224053031559535,False
1780995690.0,1780995710.0,71.41739027446363,18.000000000000004,1.2644,True,False,0.3200314788261379,70.9047619047619,0.51262836970173,0.51262836970173,False
1780995695.0,1780995715.0,69.65519749595737,18.000000000000004,1.2644,True,False,0.320653427154735,71.23809523809524,-1.5828977421378738,1.5828977421378738,False
1780995700.0,1780995720.0,75.25632177289505,21.000000000000004,1.2644,True,False,0.33194221622619663,71.9047619047619,3.351559868133151,3.351559868133151,False
1780995705.0,1780995725.0,75.50426191847309,21.000000000000004,1.2644,True,False,0.3361454213321759,72.35,3.1542619184730967,3.1542619184730967,False
1780995710.0,1780995730.0,58.67120115037304,18.000000000000004,1.2644,True,False,0.31192813116221657,73.35,-14.678798849626958,14.678798849626958,False
1780995715.0,1780995735.0,77.70485530985249,18.000000000000004,1.2644,True,False,0.3072018403819708,74.45,3.2548553098524877,3.2548553098524877,False
1780995720.0,1780995740.0,78.81004351168278,18.000000000000004,1.2644,True,False,0.29487860925469395,75.7,3.1100435116827754,3.1100435116827754,False
1780995725.0,1780995745.0,79.28243454818077,18.000000000000004,1.2644,True,False,0.29831705579729517,76.9,2.3824345481807683,2.3824345481807683,False
