start_epoch,end_epoch,hr_bpm,rr_bpm,chosen_range_m,ahet_verified,harmonic_suspect,f_r_hz_used,f_r_raw_hz,f_r_outlier,masimo_pr_bpm,error_bpm,abs_error_bpm,low_quality
1781365035.0,1781365055.0,63.88902890091761,24.0,1.308,True,False,0.3829535244969635,0.3829535244969635,False,83.9047619047619,-20.01573300384429,20.01573300384429,False
1781365040.0,1781365060.0,,21.000000000000004,1.308,False,True,0.3547490382287895,0.3547490382287895,False,82.23809523809524,,,False
1781365045.0,1781365065.0,,21.000000000000004,1.308,False,True,0.37387672253258664,0.37387672253258664,False,82.38095238095238,,,False
1781365050.0,1781365070.0,,21.000000000000004,1.308,False,True,0.33666367550086246,0.33666367550086246,False,82.14285714285714,,,False
1781365055.0,1781365075.0,,21.000000000000004,1.308,False,True,0.3464638734243881,0.3464638734243881,False,82.28571428571429,,,False
1781365060.0,1781365080.0,,21.000000000000004,1.308,False,True,0.3444383435437897,0.3444383435437897,False,82.28571428571429,,,False
1781365065.0,1781365085.0,,21.000000000000004,1.308,False,True,0.3450683130016632,0.3450683130016632,False,82.0952380952381,,,False
1781365070.0,1781365090.0,,21.000000000000004,1.308,False,True,0.3573815894357271,0.3573815894357271,False,81.80952380952381,,,False
1781365075.0,1781365095.0,,21.000000000000004,1.308,False,True,0.35489471715281545,0.35489471715281545,False,81.57142857142857,,,False
1781365080.0,1781365100.0,,21.000000000000004,1.308,False,True,0.3390373568524606,0.3390373568524606,False,81.23809523809524,,,False
1781365085.0,1781365105.0,57.24138844419828,21.000000000000004,1.308,True,False,0.3398749006864363,0.3398749006864363,False,80.80952380952381,-23.56813536532553,23.56813536532553,False
1781365090.0,1781365110.0,68.91357279381256,21.000000000000004,1.308,True,False,0.3415280050485994,0.3415280050485994,False,80.47619047619048,-11.562617682377919,11.562617682377919,False
1781365095.0,1781365115.0,,21.000000000000004,1.308,False,True,0.34492461330712143,0.34492461330712143,False,79.55,,,False
1781365100.0,1781365120.0,64.53084168832228,18.000000000000004,1.308,True,False,0.3149806609126757,0.3149806609126757,False,78.55,-14.019158311677714,14.019158311677714,False
1781365105.0,1781365125.0,70.45875361609271,18.000000000000004,1.308,True,False,0.2974772174666842,0.2974772174666842,False,78.35,-7.891246383907287,7.891246383907287,False
1781365110.0,1781365130.0,65.78590038839111,18.000000000000004,1.308,True,False,0.31168494658301604,0.31168494658301604,False,78.1,-12.314099611608881,12.314099611608881,False
1781365115.0,1781365135.0,63.0144456132706,18.000000000000004,1.308,True,False,0.32320031526940973,0.32320031526940973,False,79.14285714285714,-16.128411529586536,16.128411529586536,False
1781365120.0,1781365140.0,79.05381653010905,21.000000000000004,1.308,True,False,0.3316656771726147,0.3316656771726147,False,80.52380952380952,-1.4699929937004725,1.4699929937004725,False
1781365125.0,1781365145.0,72.99859110045199,18.000000000000004,1.308,True,False,0.3205352178063984,0.3205352178063984,False,80.9047619047619,-7.906170804309909,7.906170804309909,False
1781365130.0,1781365150.0,79.30351290106978,18.000000000000004,1.308,True,False,0.31696750856008554,0.31696750856008554,False,80.9047619047619,-1.6012490036921179,1.6012490036921179,False
1781365135.0,1781365155.0,70.51487548909701,21.000000000000004,1.308,True,False,0.3273927979082982,0.3273927979082982,False,80.80952380952381,-10.294648320426802,10.294648320426802,False
1781365140.0,1781365160.0,,18.000000000000004,1.308,False,True,0.3183240789716161,0.3183240789716161,False,80.0,,,False
1781365145.0,1781365165.0,49.69070076445432,18.000000000000004,1.308,True,False,0.29576663380165624,0.29576663380165624,False,80.14285714285714,-30.45215637840282,30.45215637840282,False
1781365150.0,1781365170.0,,15.0,1.308,False,True,0.2725755743659545,0.2725755743659545,False,81.23809523809524,,,False
1781365155.0,1781365175.0,61.696041252940034,18.000000000000004,1.308,True,False,0.2983538239186998,0.2983538239186998,False,81.28571428571429,-19.589673032774257,19.589673032774257,False
1781365160.0,1781365180.0,57.99475459018629,18.000000000000004,1.308,True,False,0.29360164057899524,0.29360164057899524,False,82.33333333333333,-24.33857874314704,24.33857874314704,False
1781365165.0,1781365185.0,,18.000000000000004,1.308,False,True,0.30044323315192134,0.30044323315192134,False,83.33333333333333,,,False
1781365170.0,1781365190.0,66.17489695140314,18.000000000000004,1.308,True,False,0.3206953160976409,0.3206953160976409,False,83.23809523809524,-17.0631982866921,17.0631982866921,False
1781365175.0,1781365195.0,,18.000000000000004,1.308,False,True,0.31183888280372707,0.31183888280372707,False,83.85714285714286,,,False
1781365180.0,1781365200.0,57.19566091439497,18.000000000000004,1.308,True,False,0.3067668600309172,0.3067668600309172,False,83.76190476190476,-26.56624384750979,26.56624384750979,False
1781365185.0,1781365205.0,87.34433358164122,18.000000000000004,1.308,True,False,0.3122387414769356,0.3122387414769356,False,83.3,4.044333581641226,4.044333581641226,False
1781365190.0,1781365210.0,,18.000000000000004,1.308,False,True,0.2969886781979578,0.2969886781979578,False,82.15,,,False
1781365195.0,1781365215.0,58.681048168155456,18.000000000000004,1.308,True,False,0.30306713098955324,0.30306713098955324,False,81.05,-22.36895183184454,22.36895183184454,False
1781365200.0,1781365220.0,79.82286225143642,18.000000000000004,1.308,True,False,0.30698366235880475,0.30698366235880475,False,80.85,-1.0271377485635753,1.0271377485635753,False
1781365205.0,1781365225.0,73.78171594581424,18.000000000000004,1.308,True,False,0.2932629785843801,0.2932629785843801,False,80.3,-6.518284054185756,6.518284054185756,False
1781365210.0,1781365230.0,,18.000000000000004,1.308,False,True,0.29650056365716226,0.29650056365716226,False,80.71428571428571,,,False
1781365215.0,1781365235.0,,18.000000000000004,1.308,False,True,0.3132814689807966,0.3132814689807966,False,81.23809523809524,,,False
1781365220.0,1781365240.0,93.20518894992132,18.000000000000004,1.308,True,False,0.29760599754710054,0.29760599754710054,False,81.57142857142857,11.633760378492752,11.633760378492752,False
1781365225.0,1781365245.0,77.31560474508649,18.000000000000004,1.308,True,False,0.29780611748983477,0.29780611748983477,False,81.28571428571429,-3.970109540627803,3.970109540627803,False
