start_epoch,end_epoch,hr_bpm,rr_bpm,chosen_range_m,ahet_verified,harmonic_suspect,f_r_hz_used,f_r_raw_hz,f_r_smooth_bpm,f_r_outlier,masimo_pr_bpm,error_bpm,abs_error_bpm,low_quality
1780995625.0,1780995645.0,63.262898871753976,18.000000000000004,1.2644,True,False,0.2927581038287681,0.2927581038287681,17.565486229726087,False,64.15,-0.8871011282460302,0.8871011282460302,False
1780995630.0,1780995650.0,57.43761486856667,18.000000000000004,1.2644,True,False,0.29082439204127863,0.28631239787046986,17.44946352247672,False,63.05,-5.612385131433328,5.612385131433328,False
1780995635.0,1780995655.0,66.41723846620926,18.000000000000004,1.2644,True,False,0.2890595598186253,0.2849416179657675,17.34357358911752,False,63.857142857142854,2.5600956090664013,2.5600956090664013,False
1780995640.0,1780995660.0,,18.000000000000004,1.2644,False,True,0.29051367944380496,0.2939066252358909,17.430820766628297,False,65.71428571428571,,,False
1780995645.0,1780995665.0,55.184873515040294,18.000000000000004,1.2644,True,False,0.29318536449239074,0.2994192962724243,17.591121869543443,False,67.85714285714286,-12.672269342102567,12.672269342102567,False
1780995650.0,1780995670.0,57.6182645800766,18.000000000000004,1.2644,True,False,0.2997288231731456,0.31499689342824033,17.983729390388735,False,69.71428571428571,-12.09602113420911,12.09602113420911,False
1780995655.0,1780995675.0,70.2080221162295,15.0,1.2644,True,False,0.29167352864501517,0.272877841412711,17.50041171870091,False,71.04761904761905,-0.8395969313895506,0.8395969313895506,False
1780995660.0,1780995680.0,66.76050214110255,18.000000000000004,1.2644,True,False,0.28978764355064396,0.28538724499711127,17.387258613038636,False,71.23809523809524,-4.477593096992692,4.477593096992692,False
1780995665.0,1780995685.0,,18.000000000000004,1.2644,False,True,0.2887350500826203,0.2862789986572319,17.324103004957216,False,71.52380952380952,,,False
1780995670.0,1780995690.0,60.43896160319416,18.000000000000004,1.2644,True,False,0.2887312589626735,0.28872241301613105,17.323875537760408,False,71.47619047619048,-11.037228872996323,11.037228872996323,False
1780995675.0,1780995695.0,59.62541339388602,9.000000000000002,1.2644,True,False,0.2887312589626735,0.14616044708566928,17.323875537760408,True,71.47619047619048,-11.850777082304461,11.850777082304461,False
1780995680.0,1780995700.0,59.65453447886648,18.000000000000004,1.2644,True,False,0.29476211798615065,0.30883412237426416,17.685727079169038,False,71.57142857142857,-11.916894092562089,11.916894092562089,False
1780995685.0,1780995705.0,59.67237161654287,18.000000000000004,1.2644,True,False,0.30196776376767753,0.318780937257907,18.11806582606065,False,71.28571428571429,-11.613342669171423,11.613342669171423,False
1780995690.0,1780995710.0,76.11774169886746,18.000000000000004,1.2644,True,False,0.30738687779409335,0.32003147718906355,18.4432126676456,False,70.9047619047619,5.212979794105564,5.212979794105564,False
1780995695.0,1780995715.0,69.56873207329105,18.000000000000004,1.2644,True,False,0.3113668417863785,0.32065342443504397,18.68201050718271,False,71.23809523809524,-1.6693631648041958,1.6693631648041958,False
1780995700.0,1780995720.0,61.04675575018385,21.000000000000004,1.2644,True,False,0.3175394555230411,0.33194222090858705,19.052367331382463,False,71.9047619047619,-10.85800615457805,10.85800615457805,False
1780995705.0,1780995725.0,75.92855976392035,21.000000000000004,1.2644,True,False,0.3231212448269638,0.3361454198694503,19.38727468961783,False,72.35,3.578559763920353,3.578559763920353,False
1780995710.0,1780995730.0,73.90487349202073,18.000000000000004,1.2644,True,False,0.3197633122602036,0.31192813627109667,19.185798735612217,False,73.35,0.5548734920207323,0.5548734920207323,False
1780995715.0,1780995735.0,54.704487918170486,18.000000000000004,1.2644,True,False,0.3159948716156921,0.30720184344516543,18.959692296941526,False,74.45,-19.745512081829517,19.745512081829517,False
1780995720.0,1780995740.0,78.81771581503006,18.000000000000004,1.2644,True,False,0.30965999244689046,0.29487860771968666,18.579599546813427,False,75.7,3.117715815030053,3.117715815030053,False
1780995725.0,1780995745.0,79.23164876332086,18.000000000000004,1.2644,True,False,0.30625711091739144,0.2983170540152271,18.375426655043487,False,76.9,2.3316487633208567,2.3316487633208567,False
