start_epoch,end_epoch,hr_bpm,rr_bpm,chosen_range_m,masimo_br,masimo_pr_bpm,error_bpm,abs_error_bpm,low_quality
1780995625.0,1780995645.0,48.0,18.000000000000004,1.2644,12.421052631578947,64.26315789473684,-16.263157894736835,16.263157894736835,False
1780995630.0,1780995650.0,51.00000000000001,18.000000000000004,1.2644,13.473684210526315,62.94736842105263,-11.947368421052623,11.947368421052623,False
1780995635.0,1780995655.0,54.0,18.000000000000004,1.2644,14.4,63.65,-9.649999999999999,9.649999999999999,False
1780995640.0,1780995660.0,54.0,18.000000000000004,1.2644,15.4,65.4,-11.400000000000006,11.400000000000006,False
1780995645.0,1780995665.0,72.00000000000001,18.000000000000004,1.2644,16.0,67.7,4.300000000000011,4.300000000000011,False
1780995650.0,1780995670.0,72.00000000000001,18.000000000000004,1.2644,16.25,69.65,2.3500000000000085,2.3500000000000085,False
1780995655.0,1780995675.0,60.0,15.0,1.2644,16.6,71.05,-11.049999999999997,11.049999999999997,False
1780995660.0,1780995680.0,72.00000000000001,18.000000000000004,1.2644,17.1,71.2,0.8000000000000114,0.8000000000000114,False
1780995665.0,1780995685.0,69.00000000000001,18.000000000000004,1.2644,17.6,71.5,-2.499999999999986,2.499999999999986,False
1780995670.0,1780995690.0,60.0,18.000000000000004,1.2644,17.85,71.5,-11.5,11.5,False
1780995675.0,1780995695.0,69.00000000000001,9.000000000000002,1.2644,18.0,71.45,-2.4499999999999886,2.4499999999999886,False
1780995680.0,1780995700.0,72.00000000000001,18.000000000000004,1.2644,18.0,71.6,0.4000000000000199,0.4000000000000199,False
1780995685.0,1780995705.0,72.00000000000001,18.000000000000004,1.2644,18.0,71.35,0.6500000000000199,0.6500000000000199,False
1780995690.0,1780995710.0,72.00000000000001,18.000000000000004,1.2644,18.0,70.95,1.0500000000000114,1.0500000000000114,False
1780995695.0,1780995715.0,72.00000000000001,18.000000000000004,1.2644,18.0,71.1,0.9000000000000199,0.9000000000000199,False
1780995700.0,1780995720.0,75.0,21.000000000000004,1.2644,18.0,71.8,3.200000000000003,3.200000000000003,False
1780995705.0,1780995725.0,60.0,21.000000000000004,1.2644,18.07894736842105,72.3157894736842,-12.315789473684205,12.315789473684205,False
1780995710.0,1780995730.0,75.0,18.000000000000004,1.2644,18.305555555555557,73.33333333333333,1.6666666666666714,1.6666666666666714,False
1780995715.0,1780995735.0,75.0,18.000000000000004,1.2644,18.583333333333332,74.33333333333333,0.6666666666666714,0.6666666666666714,False
1780995720.0,1780995740.0,78.0,18.000000000000004,1.2644,18.86111111111111,75.66666666666667,2.3333333333333286,2.3333333333333286,False
1780995725.0,1780995745.0,54.0,18.000000000000004,1.2644,19.0,76.84210526315789,-22.84210526315789,22.84210526315789,False
