start_epoch,end_epoch,hr_bpm,rr_bpm,chosen_range_m,harmonic_suspect,masimo_pr_bpm,error_bpm,abs_error_bpm,low_quality
1780995625.0,1780995645.0,48.0,18.000000000000004,1.2644,False,64.15,-16.150000000000006,16.150000000000006,False
1780995630.0,1780995650.0,66.0,18.000000000000004,1.2644,False,63.05,2.950000000000003,2.950000000000003,False
1780995635.0,1780995655.0,66.0,18.000000000000004,1.2644,False,63.857142857142854,2.142857142857146,2.142857142857146,False
1780995640.0,1780995660.0,87.00000000000001,18.000000000000004,1.2644,False,65.71428571428571,21.285714285714306,21.285714285714306,False
1780995645.0,1780995665.0,87.00000000000001,18.000000000000004,1.2644,False,67.85714285714286,19.142857142857153,19.142857142857153,False
1780995650.0,1780995670.0,60.0,18.000000000000004,1.2644,False,69.71428571428571,-9.714285714285708,9.714285714285708,False
1780995655.0,1780995675.0,72.00000000000001,15.0,1.2644,False,71.04761904761905,0.9523809523809632,0.9523809523809632,False
1780995660.0,1780995680.0,81.0,18.000000000000004,1.2644,False,71.23809523809524,9.76190476190476,9.76190476190476,False
1780995665.0,1780995685.0,87.00000000000001,18.000000000000004,1.2644,False,71.52380952380952,15.476190476190496,15.476190476190496,False
1780995670.0,1780995690.0,60.0,18.000000000000004,1.2644,False,71.47619047619048,-11.476190476190482,11.476190476190482,False
1780995675.0,1780995695.0,69.00000000000001,9.000000000000002,1.2644,False,71.47619047619048,-2.4761904761904674,2.4761904761904674,False
1780995680.0,1780995700.0,60.0,18.000000000000004,1.2644,False,71.57142857142857,-11.57142857142857,11.57142857142857,False
1780995685.0,1780995705.0,60.0,18.000000000000004,1.2644,False,71.28571428571429,-11.285714285714292,11.285714285714292,False
1780995690.0,1780995710.0,78.0,18.000000000000004,1.2644,False,70.9047619047619,7.095238095238102,7.095238095238102,False
1780995695.0,1780995715.0,63.0,18.000000000000004,1.2644,False,71.23809523809524,-8.23809523809524,8.23809523809524,False
1780995700.0,1780995720.0,75.0,21.000000000000004,1.2644,False,71.9047619047619,3.095238095238102,3.095238095238102,False
1780995705.0,1780995725.0,51.00000000000001,21.000000000000004,1.2644,False,72.35,-21.349999999999987,21.349999999999987,False
1780995710.0,1780995730.0,60.0,18.000000000000004,1.2644,False,73.35,-13.349999999999994,13.349999999999994,False
1780995715.0,1780995735.0,84.00000000000001,18.000000000000004,1.2644,False,74.45,9.550000000000011,9.550000000000011,False
1780995720.0,1780995740.0,78.0,18.000000000000004,1.2644,False,75.7,2.299999999999997,2.299999999999997,False
1780995725.0,1780995745.0,78.0,18.000000000000004,1.2644,False,76.9,1.0999999999999943,1.0999999999999943,False
