start_epoch,end_epoch,hr_bpm,rr_bpm,chosen_range_m,ahet_verified,harmonic_suspect,f_r_hz_used,f_r_raw_hz,f_r_outlier,masimo_br,masimo_pr_bpm,error_bpm,abs_error_bpm,low_quality
1780995625.0,1780995645.0,63.262898871753976,18.000000000000004,1.2644,True,False,0.2927581038287681,0.2927581038287681,False,12.421052631578947,64.26315789473684,-1.0002590229828598,1.0002590229828598,False
1780995630.0,1780995650.0,57.26147678337388,18.000000000000004,1.2644,True,False,0.28631239787046986,0.28631239787046986,False,13.473684210526315,62.94736842105263,-5.6858916376787505,5.6858916376787505,False
1780995635.0,1780995655.0,65.95888915568335,18.000000000000004,1.2644,True,False,0.2849416179657675,0.2849416179657675,False,14.4,63.65,2.308889155683353,2.308889155683353,False
1780995640.0,1780995660.0,77.37052674733359,18.000000000000004,1.2644,True,False,0.2939066252358909,0.2939066252358909,False,15.4,65.4,11.97052674733358,11.97052674733358,False
1780995645.0,1780995665.0,55.452704570005,18.000000000000004,1.2644,True,False,0.2994192962724243,0.2994192962724243,False,16.0,67.7,-12.247295429995006,12.247295429995006,False
1780995650.0,1780995670.0,70.32765950249406,18.000000000000004,1.2644,True,False,0.31499689342824033,0.31499689342824033,False,16.25,69.65,0.6776595024940519,0.6776595024940519,False
1780995655.0,1780995675.0,58.5196094304221,15.0,1.2644,True,False,0.272877841412711,0.272877841412711,False,16.6,71.05,-12.530390569577897,12.530390569577897,False
1780995660.0,1780995680.0,66.55237473223478,18.000000000000004,1.2644,True,False,0.28538724499711127,0.28538724499711127,False,17.1,71.2,-4.647625267765221,4.647625267765221,False
1780995665.0,1780995685.0,71.56165891438475,18.000000000000004,1.2644,True,False,0.2862789986572319,0.2862789986572319,False,17.6,71.5,0.061658914384750574,0.061658914384750574,False
1780995670.0,1780995690.0,60.43895788979241,18.000000000000004,1.2644,True,False,0.28872241301613105,0.28872241301613105,False,17.85,71.5,-11.061042110207588,11.061042110207588,False
1780995675.0,1780995695.0,69.00000000000001,9.000000000000002,1.2644,False,False,0.14616044708566928,0.14616044708566928,True,18.0,71.45,-2.4499999999999886,2.4499999999999886,False
1780995680.0,1780995700.0,68.73953264021051,18.000000000000004,1.2644,True,False,0.30883412237426416,0.30883412237426416,False,18.0,71.6,-2.8604673597894816,2.8604673597894816,False
1780995685.0,1780995705.0,62.06166331701688,18.000000000000004,1.2644,True,False,0.318780937257907,0.318780937257907,False,18.0,71.35,-9.288336682983115,9.288336682983115,False
1780995690.0,1780995710.0,71.41739179722082,18.000000000000004,1.2644,True,False,0.32003147718906355,0.32003147718906355,False,18.0,70.95,0.46739179722081303,0.46739179722081303,False
1780995695.0,1780995715.0,69.65520518515973,18.000000000000004,1.2644,True,False,0.32065342443504397,0.32065342443504397,False,18.0,71.1,-1.4447948148402645,1.4447948148402645,False
1780995700.0,1780995720.0,75.25631994028556,21.000000000000004,1.2644,True,False,0.33194222090858705,0.33194222090858705,False,18.0,71.8,3.4563199402855673,3.4563199402855673,False
1780995705.0,1780995725.0,75.50425977443695,21.000000000000004,1.2644,True,False,0.3361454198694503,0.3361454198694503,False,18.07894736842105,72.3157894736842,3.1884703007527406,3.1884703007527406,False
1780995710.0,1780995730.0,58.67120125056578,18.000000000000004,1.2644,True,False,0.31192813627109667,0.31192813627109667,False,18.305555555555557,73.33333333333333,-14.662132082767549,14.662132082767549,False
1780995715.0,1780995735.0,77.7048553489261,18.000000000000004,1.2644,True,False,0.30720184344516543,0.30720184344516543,False,18.583333333333332,74.33333333333333,3.371522015592774,3.371522015592774,False
1780995720.0,1780995740.0,78.8100439833021,18.000000000000004,1.2644,True,False,0.29487860771968666,0.29487860771968666,False,18.86111111111111,75.66666666666667,3.143377316635423,3.143377316635423,False
1780995725.0,1780995745.0,79.282429862591,18.000000000000004,1.2644,True,False,0.2983170540152271,0.2983170540152271,False,19.0,76.84210526315789,2.4403245994331115,2.4403245994331115,False
