start_epoch,end_epoch,hr_bpm,rr_bpm,chosen_range_m,masimo_pr_bpm,error_bpm,abs_error_bpm,low_quality
1780995625.0,1780995645.0,69.00000000000001,18.000000000000004,1.3082,64.15,4.8500000000000085,4.8500000000000085,False
1780995630.0,1780995650.0,69.00000000000001,9.000000000000002,1.3082,63.05,5.950000000000017,5.950000000000017,False
1780995635.0,1780995655.0,66.0,9.000000000000002,1.3082,63.857142857142854,2.142857142857146,2.142857142857146,False
1780995640.0,1780995660.0,54.0,9.000000000000002,1.3082,65.71428571428571,-11.714285714285708,11.714285714285708,False
1780995645.0,1780995665.0,72.00000000000001,12.0,1.3082,67.85714285714286,4.142857142857153,4.142857142857153,False
1780995650.0,1780995670.0,72.00000000000001,12.0,1.3082,69.71428571428571,2.285714285714306,2.285714285714306,False
1780995655.0,1780995675.0,72.00000000000001,15.0,1.3082,71.04761904761905,0.9523809523809632,0.9523809523809632,False
1780995660.0,1780995680.0,72.00000000000001,18.000000000000004,1.3082,71.23809523809524,0.7619047619047734,0.7619047619047734,False
1780995665.0,1780995685.0,75.0,15.0,1.3082,71.52380952380952,3.4761904761904816,3.4761904761904816,False
1780995670.0,1780995690.0,51.00000000000001,9.000000000000002,1.3082,71.47619047619048,-20.476190476190474,20.476190476190474,False
1780995675.0,1780995695.0,54.0,9.000000000000002,1.3082,71.47619047619048,-17.47619047619048,17.47619047619048,False
1780995680.0,1780995700.0,54.0,9.000000000000002,1.3082,71.57142857142857,-17.57142857142857,17.57142857142857,False
1780995685.0,1780995705.0,54.0,21.000000000000004,1.3082,71.28571428571429,-17.285714285714292,17.285714285714292,False
1780995690.0,1780995710.0,57.00000000000001,18.000000000000004,1.3082,70.9047619047619,-13.904761904761891,13.904761904761891,False
1780995695.0,1780995715.0,72.00000000000001,18.000000000000004,1.3082,71.23809523809524,0.7619047619047734,0.7619047619047734,False
1780995700.0,1780995720.0,75.0,21.000000000000004,1.3082,71.9047619047619,3.095238095238102,3.095238095238102,False
1780995705.0,1780995725.0,75.0,18.000000000000004,1.3082,72.35,2.6500000000000057,2.6500000000000057,False
1780995710.0,1780995730.0,72.00000000000001,18.000000000000004,1.3082,73.35,-1.34999999999998,1.34999999999998,False
1780995715.0,1780995735.0,48.0,18.000000000000004,1.3082,74.45,-26.450000000000003,26.450000000000003,False
1780995720.0,1780995740.0,54.0,18.000000000000004,1.3082,75.7,-21.700000000000003,21.700000000000003,False
1780995725.0,1780995745.0,51.00000000000001,18.000000000000004,1.3082,76.9,-25.9,25.9,False
