start_epoch,end_epoch,hr_bpm,rr_bpm,chosen_range_m,heart_spectrum_stage,heart_peak_hz,accepted_candidate_rank,accepted_candidate_initial_hz,accepted_candidate_refined_hz,accepted_second_harmonic_refined_hz,schema_version,window_index,start_frame,end_frame,window_frames,hop_frames,frame_rate_hz,range_bin,range_m,eca_applied,ahet_verified,harmonic_suspect,f_r_hz_used,f_r_raw_hz,f_r_outlier,masimo_br,masimo_pr_bpm,error_bpm,abs_error_bpm,low_quality
1780995625.0,1780995645.0,63.262898865423466,18.000000000000004,1.2644,2,1.0543816477570578,0,1.0315861622185858,1.0315861622185858,2.1543542665910596,1,0,0,400,400,100,20.0,29,1.2644,True,True,False,0.29275810585488343,0.29275810585488343,False,12.421052631578947,64.26315789473684,-1.0002590293133693,1.0002590293133693,False
1780995630.0,1780995650.0,57.26147681605137,18.000000000000004,1.2644,2,0.9543579469341895,1,0.951407482195353,0.951407482195353,1.914616823346052,1,1,100,500,400,100,20.0,29,1.2644,True,True,False,0.2863123985148498,0.2863123985148498,False,13.473684210526315,62.94736842105263,-5.68589160500126,5.68589160500126,False
1780995635.0,1780995655.0,65.95888860831815,18.000000000000004,1.2644,2,1.0993148101386359,0,1.0780211137237599,1.0780211137237599,2.2412170131070233,1,2,200,600,400,100,20.0,29,1.2644,True,True,False,0.28494161539833557,0.28494161539833557,False,14.4,63.65,2.3088886083181492,2.3088886083181492,False
1780995640.0,1780995660.0,77.37052679357893,18.000000000000004,1.2644,2,1.2895087798929823,0,1.2963802235423554,1.2963802235423554,2.565274672487218,1,3,300,700,400,100,20.0,29,1.2644,True,True,False,0.29390662043534826,0.29390662043534826,False,15.4,65.4,11.970526793578927,11.970526793578927,False
1780995645.0,1780995665.0,55.452704061065255,18.000000000000004,1.2644,2,0.9242117343510876,2,0.9045249017889256,0.9045249017889256,1.8877971338264994,1,4,400,800,400,100,20.0,29,1.2644,True,True,False,0.29941929795636707,0.29941929795636707,False,16.0,67.7,-12.247295938934748,12.247295938934748,False
1780995650.0,1780995670.0,70.32765948591097,18.000000000000004,1.2644,2,1.1721276580985163,0,1.1974209698677698,1.1974209698677698,2.2936686926585255,1,5,500,900,400,100,20.0,29,1.2644,True,True,False,0.3149968924257047,0.3149968924257047,False,16.25,69.65,0.677659485910965,0.677659485910965,False
1780995655.0,1780995675.0,58.51960936615997,15.0,1.2644,2,0.9753268227693328,0,0.9841804813803599,0.9841804813803599,1.9329463283166117,1,6,600,1000,400,100,20.0,29,1.2644,True,True,False,0.2728778390160328,0.2728778390160328,False,16.6,71.05,-12.530390633840028,12.530390633840028,False
1780995660.0,1780995680.0,66.55237452908648,18.000000000000004,1.2644,2,1.1092062421514413,2,1.0817754453890036,1.0817754453890036,2.273274077827758,1,7,700,1100,400,100,20.0,29,1.2644,True,True,False,0.285387243664565,0.285387243664565,False,17.1,71.2,-4.647625470913525,4.647625470913525,False
1780995665.0,1780995685.0,71.56165809784018,18.000000000000004,1.2644,2,1.1926943016306697,0,1.1793242175441205,1.1793242175441205,2.412128771434438,1,8,800,1200,400,100,20.0,29,1.2644,True,True,False,0.28627900331041195,0.28627900331041195,False,17.6,71.5,0.06165809784017995,0.06165809784017995,False
1780995670.0,1780995690.0,60.438957889810794,18.000000000000004,1.2644,2,1.00731596483018,0,0.9931857449879538,0.9931857449879538,2.0428923693448118,1,9,900,1300,400,100,20.0,29,1.2644,True,True,False,0.28872241306072466,0.28872241306072466,False,17.85,71.5,-11.061042110189206,11.061042110189206,False
1780995675.0,1780995695.0,69.00000000000001,9.000000000000002,1.2644,0,1.1500000000000001,-1,,,,1,10,1000,1400,400,100,20.0,29,1.2644,False,False,False,0.14616047390971354,0.14616047390971354,True,18.0,71.45,-2.4499999999999886,2.4499999999999886,False
1780995680.0,1780995700.0,68.73953223238183,18.000000000000004,1.2644,2,1.1456588705396973,0,1.18335424059676,1.18335424059676,2.2159270009652685,1,11,1100,1500,400,100,20.0,29,1.2644,True,True,False,0.3088341161178503,0.3088341161178503,False,18.0,71.6,-2.860467767618161,2.860467767618161,False
1780995685.0,1780995705.0,62.0616636020464,18.000000000000004,1.2644,2,1.0343610600341067,2,1.0176573109629043,1.0176573109629043,2.1021296182106175,1,12,1200,1600,400,100,20.0,29,1.2644,True,True,False,0.3187809418675652,0.3187809418675652,False,18.0,71.35,-9.288336397953593,9.288336397953593,False
1780995690.0,1780995710.0,71.41739158910619,18.000000000000004,1.2644,2,1.1902898598184364,0,1.2093002012610983,1.2093002012610983,2.3425590367515494,1,13,1300,1700,400,100,20.0,29,1.2644,True,True,False,0.320031482071621,0.320031482071621,False,18.0,70.95,0.4673915891061853,0.4673915891061853,False
1780995695.0,1780995715.0,69.65520504033822,18.000000000000004,1.2644,2,1.160920084005637,0,1.1959588527476153,1.1959588527476153,2.2517626305273173,1,14,1400,1800,400,100,20.0,29,1.2644,True,True,False,0.32065342909768907,0.32065342909768907,False,18.0,71.1,-1.4447949596617775,1.4447949596617775,False
1780995700.0,1780995720.0,75.25631994304966,21.000000000000004,1.2644,2,1.2542719990508278,0,1.2428825528474516,1.2428825528474516,2.5313228905084078,1,15,1500,1900,400,100,20.0,29,1.2644,True,True,False,0.33194222115719285,0.33194222115719285,False,18.0,71.8,3.456319943049664,3.456319943049664,False
1780995705.0,1780995725.0,75.50425974921632,21.000000000000004,1.2644,2,1.2584043291536053,0,1.2346248427673325,1.2346248427673325,2.5643676310797567,1,16,1600,2000,400,100,20.0,29,1.2644,True,True,False,0.3361454192556007,0.3361454192556007,False,18.07894736842105,72.3157894736842,3.1884702755321115,3.1884702755321115,False
1780995710.0,1780995730.0,58.671201366927605,18.000000000000004,1.2644,2,0.9778533561154601,0,0.9874052696137794,0.9874052696137794,1.9366028852342814,1,17,1700,2100,400,100,20.0,29,1.2644,True,True,False,0.3119281309880299,0.3119281309880299,False,18.305555555555557,73.33333333333333,-14.662131966405724,14.662131966405724,False
1780995715.0,1780995735.0,77.70485522238945,18.000000000000004,1.2644,2,1.2950809203731577,0,1.2850022044672993,1.2850022044672993,2.6103192725580326,1,18,1800,2200,400,100,20.0,29,1.2644,True,True,False,0.307201841439174,0.307201841439174,False,18.583333333333332,74.33333333333333,3.371521889056126,3.371521889056126,False
